fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,FL,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir,success,absstable10,absstable10_v,fdistcm
fish58,low,13/03/2021,15:17:32,-,nan,unstable,,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,dk,,,
fish59,low,13/03/2021,15:45:57,-,nan,unstable,,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,dk,,,
fish60,low,13/03/2021,16:13:24,-,nan,unstable,,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,dk,,,
fish64,low,13/03/2021,18:07:33,-,nan,unstable,,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,dk,,,
fish66,low,25/03/2021,10:15:39,x,nan,no_reaction,"stable, no change in dir",counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,no,,,
fish67,low,25/03/2021,10:43:41,x,nan,no_reaction,"stable, no change in dir",clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,no,,,
fish68,low,25/03/2021,11:14:22,x,nan,no_reaction,"stable, no change in dir",counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,no,,,
fish69,low,25/03/2021,11:42:55,x,nan,no_reaction,"stable, no change in dir",clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,no,,,
fish70,low,25/03/2021,12:10:26,x,nan,unstable,semi-stable,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,dk,,,
fish71,low,25/03/2021,12:37:40,x,nan,unstable,unstable,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,dk,,,
fish72,low,25/03/2021,13:05:25,x,nan,unstable,unstable,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,dk,,,
fish73,low,25/03/2021,13:32:12,x,nan,unstable,swims off,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,dk,,,
fish74,low,25/03/2021,14:00:47,x,nan,no_reaction,holding sideways to flow,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_counter,no,,,
fish75,low,25/03/2021,14:29:47,x,nan,unstable,unstable,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,dk,,,
fish77,low,25/03/2021,15:24:50,x,nan,no_reaction,"stable, but holding sideways",clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,no,,,
fish79,low,25/03/2021,16:42:06,x,nan,no_reaction,"not sure, it is being turned around maybe.",clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,low_clock,no,,,
fish82,high,27/03/2021,09:36:21,x,nan,unstable,unstable,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_clock,dk,,,
fish83,high,27/03/2021,10:06:54,x,nan,unstable,unstable,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_counter,dk,,,
fish89,high,27/03/2021,13:01:39,x,nan,unstable,unstable,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_counter,dk,,,
fish96,high,27/03/2021,16:41:00,x,nan,unstable,unstable,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_clock,dk,,,
farmed97,high,28/03/2021,12:49:18,x,nan,unstable,unstable,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_clock,dk,,,
farmed104,high,28/03/2021,16:01:43,x,nan,no_reaction,no change,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_counter,no,,,
farmed105,high,28/03/2021,16:29:55,16:31:26,00:01:31,no_reaction,dir change and swim off,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,91.0,,,,high_clock,no,,,
farmed106,high,28/03/2021,16:58:32,x,nan,no_reaction,no change,counter,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_counter,no,,,
farmed107,high,28/03/2021,17:25:04,x,nan,unstable,unstable,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_clock,dk,,,
farmed109,high,28/03/2021,18:19:28,x,nan,unstable,unstable,clock,,,,16,farmed_loch,,,,,,,,,,,,,,,,,,,high_clock,dk,,,
wild2,high,03/05/2021,13:38:41,x, ,unstable,unstable,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,dk,,,
wild4,high,03/05/2021,14:38:56,x,nan,no_reaction,no change,counter,,,,13,wild,,,,,,,,,,,,,,,,,,,high_counter,no,,,
